"Language","original","english","french","czech","german","russian","polish","hungarian","italian","spanish","chinese","japanese","portuguese","chinesesimp",
"STR_SP_DISEASE_GOOD","Healthy","Healthy","En bonne santé","Zdravý","Gesund","Здоровый","Zdrowy","Egészséges","Sano","Saludable","健康","健康","Saudável","健康",
"STR_SP_ONLINE_PLAYERS_TXT","Online Players","Online Players","Joueurs en ligne","Online hráči","Online-Spieler","Онлайн-игроки","Gracze sieciowi","Online játékosok","Giocatori in linea","Jugadores en línea","在线玩家","オンラインプレイヤー","Jogadores on-line","在线玩家",
"STR_SP_UNKNOWN_BLOOD_GROUP","Unknown","Unknown","Inconnu","Neznámý","Unbekannt","Неизвестный","Nieznany","Ismeretlen","Sconosciuto","Desconocido","未知","未知","Desconhecido","未知",
"STR_SP_MALE_GENDER","Man","Man","Homme","Muž","Mann","Мужчина","Człowiek","Férfi","Uomo","Hombre","男","男","Homem","男",
"STR_SP_FEMALE_GENDER","Woman","Woman","Femme","Žena","Frau","Женщина","Kobieta","Nő","Donna","Mujer","女","女性","Mulher","女",
"STR_SP_KEY_OPEN_SERVER_PANEL","Open Server Panel","Open Server Panel","Open Server Panel","Otevřít Server Panel","Open Server Panel","Открыть информационную панель","Open Server Panel","Open Server Panel","Open Server Panel","Open Server Panel","Open Server Panel","Open Server Panel","Open Server Panel","Open Server Panel",
"STR_SP_TITLE","Server Panel Information","Server Panel Information","Server Panel Information",Server Panel Informace","Server Panel Informationen","Server Panel Information","Server Panel Information","Server Panel Information","Server Panel Information","Server Panel Information","Server Panel Information","Server Panel Information","Server Panel Information","Server Panel Information",
"STR_SP_BUTTON","SERVER PANEL","SERVER PANEL","SERVER PANEL","SERVER PANEL","SERVER PANEL","SERVER PANEL","SERVER PANEL","SERVER PANEL","SERVER PANEL","SERVER PANEL","服务器信息面板","SERVER PANEL","SERVER PANEL","服务器信息面板",
"STR_SP_POS_TXT","Pos.","Pos.","Pos.","Pos.","Pos.","Pos.","Pos.","Pos.","Pos.","Pos.","坐标","座標","Pos.","坐标",
"STR_SP_LEGEND_ALIVE","Healthy","Healthy","Healthy","Zdravý","Gesund","Здоровый","Zdrowy","Egészséges","Salutare","Saludable","非常健康","とても健康な","Saudável","非常健康",
"STR_SP_LEGEND_DEAD","Unconscious or Dead","Unconscious or Dead","Inconscient ou mort","V bezvědomí nebo mrtvý","Bewusstlos oder tot","Без сознания или мертв","Nieprzytomny lub martwy","Eszméletlen vagy halott","Inconscio o morto","Inconsciente o muerto","失去知觉或死亡","意識不明または死亡","Inconsciente ou Morto","失去知觉或死亡",
"STR_SP_CRAFTING_NEED","You need","You need","Vous avez besoin de","Potřebujete","Sie benötigen","Вам нужно","Potrzebujesz","Szüksége van","Hai bisogno di","Necesitas","你需要","あなたは必要です","Você precisa de","你需要",
"STR_SP_CRAFTING_RESULT","To Craft","To Craft","Pour fabriquer","K výrobě","Zum Herstellen","Для создания","Aby stworzyć","Létrehozni","Per creare","Para crear","去制造","作るために","Para criar","去制造",
"STR_SP_PLAYER_TAB_TITLE","PLAYER","PLAYER","JOUEUR","HRÁČ","SPIELER","ИГРОК","GRACZ","JÁTÉKOS","GIOCATORE","JUGADOR","玩家","プレイヤー","JOGADOR","玩家",
"STR_SP_CRAFTING_TAB_TITLE","Craft","CRAFTS","RECETTES","VÝROBY","HERSTELLUNGEN","РЕЦЕПТЫ","PRZEPISY","CRAFTS","RICETTE","RECETAS","配方","レシピ","RECEITAS","配方",
"STR_SP_INVENTORYWEIGHT","Inventory Weight","Inventory Weight","Poids de l'Inventaire","Hmotnost inventáře","Inventargewicht","Вес инвентаря","Waga ekwipunku","Az irányított súly","Peso dell'inventario","Peso del inventario","物品栏重量","インベントリの重量","Peso do Inventário","物品栏重量",
"STR_SP_PLAYER_SERVER_UPTIME_TITLE","Server Uptime","Server Uptime","Uptime du Serveur","Doba běhu serveru","Server-Betriebszeit","Аптайм сервера","Czas pracy serwera","Szerver üzemideje","Uptime del server","Uptime del servidor","运行时间","稼働時間","Uptime do servidor","运行时间",
"STR_SP_PLAYER_INFORMATIONS_TITLE","INFORMATION","INFORMATION","INFORMATIONS","INFORMACE","INFORMATIONEN","ИНФОРМАЦИЯ","INFORMACJE","INFORMÁCIÓK","INFORMAZIONI","INFORMACIONES","信息","情報","INFORMAÇÕES","信息",
